pat,red,ir,real_imp,img_imp,temp,env
24320,22479.0,32354.0,6460.0,61416.0,3551.0,3197.0
24320,22442.0,32391.0,6463.0,61416.0,3548.0,3197.0
24336,22430.0,32472.0,6461.0,61429.0,3550.0,3199.0
24329,22398.0,32528.0,6468.0,61414.0,3545.0,3197.0
24287,22395.0,32589.0,6464.0,61415.0,3548.0,3197.0
24287,22370.0,32692.0,6461.0,61415.0,3551.0,3196.0
24251,22340.0,32733.0,6467.0,61411.0,3548.0,3200.0
24230,22320.0,32764.0,6466.0,61409.0,3548.0,3197.0
24259,22319.0,32745.0,6455.0,61419.0,3551.0,3197.0
24259,22311.0,32732.0,6456.0,61410.0,3550.0,3197.0
24290,22311.0,32731.0,6464.0,61413.0,3551.0,3197.0
24294,22315.0,32722.0,6459.0,61424.0,3550.0,3196.0
24306,22312.0,32719.0,6467.0,61420.0,3548.0,3197.0
24306,22310.0,32741.0,6462.0,61414.0,3551.0,3197.0
24262,22311.0,32765.0,6455.0,61420.0,3551.0,3197.0
24298,22326.0,32757.0,6468.0,61411.0,3550.0,3197.0
24298,22329.0,32719.0,6471.0,61419.0,3550.0,3197.0
24298,22341.0,32706.0,6448.0,61415.0,3550.0,3196.0
24296,22349.0,32682.0,6454.0,61412.0,3551.0,3196.0
24284,22366.0,32649.0,6455.0,61410.0,3554.0,3197.0
24283,22371.0,32627.0,6450.0,61417.0,3550.0,3199.0
24283,22379.0,32590.0,6462.0,61415.0,3550.0,3197.0
24256,22394.0,32587.0,6460.0,61416.0,3552.0,3196.0
24240,22403.0,32560.0,6457.0,61427.0,3550.0,3197.0
24237,22403.0,32566.0,6470.0,61409.0,3550.0,3197.0
24237,22411.0,32544.0,6457.0,61411.0,3548.0,3199.0
24267,22411.0,32560.0,6457.0,61416.0,3550.0,3199.0
24284,22392.0,32552.0,6457.0,61412.0,3551.0,3196.0
24271,22405.0,32550.0,6466.0,61409.0,3550.0,3199.0
